,corr_5,p_5,corr_10,p_10,corr_30,p_30
2021-03-02,-0.19036115675027135,4.544067996019079e-06,-0.14714898835271434,0.00041425556302884537,-0.14654285869183262,0.00043788969928359333
2021-03-03,-0.08207383923667563,0.05057886725594109,-0.06231914276211773,0.13796635673727095,-0.02700192038038574,0.5207241925451284
2021-03-04,-0.0502084417199775,0.2330228231529615,-0.07690976050915127,0.0674887831917236,-0.041547510045694985,0.32379585664848143
2021-03-05,-0.025121153469031546,0.5505387220347783,-0.035191076369062685,0.4029460148347892,-0.06127968318952275,0.14502616147942607
2021-03-08,0.02628511722605638,0.5322194160171603,-0.005569343401067183,0.8947278315516872,-0.02052140156921602,0.6258163974514626
2021-03-09,0.06549349441921289,0.11994970389484891,0.04113081095860613,0.329106071528144,0.017826191876405204,0.6724273647847665
2021-03-10,-0.005503400114471779,0.8961505947693167,-0.01714670871037173,0.6842284249789521,-0.017165185095546487,0.6839064972404663
2021-03-11,-0.07079510867659593,0.09360614068311607,-0.10112796775734632,0.01647554156065372,-0.056423653231736544,0.1816487804706768
2021-03-12,-0.0850855884486332,0.04321256649891298,-0.10229785418117003,0.014991191694460946,-0.05510083059069557,0.1909327064501106
2021-03-15,-0.04419535748072146,0.28465404853738685,-0.024337908392188516,0.5558650737250361,0.008508923499849344,0.8368728534140342
2021-03-16,-0.039091328930388226,0.34608517678740547,-0.009774672713442192,0.8138110495086538,-0.015916428365251332,0.7013432078919708
2021-03-17,-0.07047451399917781,0.08747678585396294,-0.01755567614171441,0.6706966908061262,0.0072456331506847585,0.8607061341317586
2021-03-18,-0.08299299855492097,0.04425554367371333,-0.024484668266062878,0.5534842984943424,0.012427755904904999,0.7636223644661415
2021-03-19,-0.059918399276560334,0.14639181777926225,0.02549449813797802,0.5368916762753482,0.01390802488258314,0.7362393338530837
2021-03-22,0.0444447459140216,0.2815317961161215,0.031438043183348696,0.4463301557377741,0.0171021403548336,0.6787232954136337
2021-03-23,0.047747947858682346,0.24726883036022687,0.029055406106124913,0.48155382164571237,0.019312830999332523,0.6399581889566531
2021-03-24,-0.05378199660094446,0.19205156890667055,-0.10402849073201892,0.011460081469821479,-0.0791499889693842,0.05467062693985726
2021-03-25,-0.01669335647976784,0.685230042303496,-0.06493913158134755,0.11448198656141113,-0.03355704348625909,0.41508262054935563
2021-03-26,-0.020508192748258325,0.6199880891153782,-0.01393952274568296,0.7360985067593333,0.01771549042752524,0.6684100851687795
2021-03-29,0.006605050090217435,0.872911555336179,-0.01241673915685562,0.7636300890907729,0.01598377538536959,0.6986702810103447
2021-03-30,0.08191402065367943,0.04728661606383755,0.04918613940572647,0.2340990735331894,0.02710964169350114,0.5121233007241258
2021-03-31,0.06756826580864556,0.10079411385118763,0.03798272902035287,0.35665557722093144,0.026050118621295314,0.5273491734091958
2021-04-01,0.014181788838700467,0.7316869328691205,0.014589813701206347,0.7242769809359564,0.011850873270487804,0.7744783617347453
2021-04-07,0.03530412921551015,0.3936240176046446,0.029554477516876097,0.4751860387361254,0.032799429353113196,0.42806451220190944
2021-04-08,0.03850586327622489,0.35253399219934023,0.09899050843982012,0.01661923274156491,0.032482702216248216,0.4329354951163302
2021-04-09,-0.03980403888772749,0.33694061769598804,0.020823928866107937,0.6155203365194385,-0.011256840489558495,0.7860375642042837
2021-04-12,0.05547604869709874,0.18101172037003493,0.08885232883433145,0.03195173024910456,0.0978275548499546,0.018143094409233132
2021-04-13,0.054838346640693356,0.18646556358990996,0.018253256371269053,0.6603399968934074,0.03694759539803085,0.37360750555736655
2021-04-14,0.07111217362141779,0.08706634246739552,0.006415698279980072,0.8774688090103266,0.0373748278960176,0.36893120547732905
2021-04-15,-0.006766193378637272,0.8712761362159169,-0.03925727907276338,0.34696598229584663,-0.008242259600794801,0.843524021473414
2021-04-16,-0.003608027860171822,0.93114459650506,-0.025776777139450945,0.5369700252476919,0.023010546681094746,0.5815470078122501
2021-04-19,-0.050932348783503945,0.2218676806267352,-0.012706734026591253,0.7606886238913808,-0.06758656388908582,0.10484206176531989
2021-04-20,-0.00633362444844415,0.8796494675064497,-0.05874259648368047,0.15986713116182855,-0.02410376856633412,0.5644055763623712
2021-04-21,0.01505002093601903,0.7185209015449092,0.052879541586515776,0.20506990492840307,0.01109893228526129,0.7903902281577543
2021-04-22,0.008610164622150564,0.8359350506780294,0.015085559060270575,0.7167102234578175,-0.014305905410958449,0.7307683033005845
2021-04-23,-0.03862567262934517,0.3547850641308511,0.009573585931406928,0.8186573640767676,0.010517143131686694,0.8011414825486196
2021-04-26,-0.01643426976751725,0.6918631227176242,-0.03930298905078456,0.34306274374086265,-0.025234547091054122,0.5427824762358917
2021-04-27,0.026256790553145726,0.5279804422677374,-0.04478632645275243,0.28156468127380646,-0.022474039237630108,0.5890955740405828
2021-04-28,0.029990959441426147,0.46868696665918064,-0.06843156311662797,0.09793340557163051,-0.030731035420559383,0.45778047902298524
2021-05-06,0.1480874414769426,0.0004818574376364117,0.11422324195969222,0.007223689702730737,0.11657863514339617,0.006104324206786825
2021-05-07,0.0929067328258684,0.02695441231843499,0.05477930622244673,0.19274847390033714,0.0903896206661625,0.03139790127994578
2021-05-10,0.06541303353366691,0.11683858896715353,0.06827764106990146,0.10162744954115596,0.06448249794575604,0.12214630613348254
2021-05-11,0.06622213815558946,0.10959176937404792,0.04827215260913273,0.24372360719296385,0.03729035321376299,0.3679513786093529
2021-05-12,0.07995725735900476,0.05244142113677492,0.11132989547193028,0.0068392146363636976,0.0649727000464002,0.11521990319370275
2021-05-13,0.08698205936716484,0.03591573913227757,0.09915724684398339,0.01671610309107662,0.09174258203248463,0.0268858678475919
2021-05-14,0.14909595902239842,0.0003182205378039235,0.116149882140741,0.005137493879607857,0.10416254000849515,0.012148155874742508
2021-05-17,0.13699737014836458,0.0009118354694832191,0.10102239907098981,0.014677671481068435,0.10581740646722071,0.010567003087052825
2021-05-18,0.11747506611214766,0.004720425139186455,0.08237018633560006,0.047965856620249096,0.09655543213500317,0.020355285531061713
2021-05-20,0.13822069179293453,0.0008361691110274783,0.08661946722003894,0.03686115753050888,0.08526099571355703,0.03993290303845355
2021-05-21,0.08254972377946128,0.0459613332763462,0.04036354423601113,0.3297721136065255,0.04775418268003176,0.24882536516807569
2021-05-24,0.019742808194223235,0.6336897617380117,-0.0056837349895940545,0.8908898736691084,0.024578506497592034,0.5529851505306267
2021-05-25,-0.0470552964863694,0.2562348865421896,-0.010196851831126693,0.8057623565806351,-0.009857403295433796,0.812105787293212
2021-05-26,0.054947200144297687,0.18559149343860765,0.07722099030900871,0.06264441511106493,0.061077360692157384,0.14110786748417165
2021-05-27,0.050814335314907304,0.22093912663453005,0.06030215081918824,0.14623354751368572,0.0439366122258878,0.28996937652172794
2021-05-28,-0.00334334627925123,0.9360182475676015,-0.01893658422457863,0.6493135002139552,0.03572668942408372,0.39084457090995195
2021-05-31,0.0669001205087098,0.10720394981976115,0.06697109359150746,0.1068310773928003,0.10662292207812822,0.010116174888202939
2021-06-01,0.0072869183163577315,0.8602756315561487,0.04217322203824829,0.3081178790261929,0.025104032873324418,0.5441812509705557
2021-06-02,0.02349158331599821,0.570681171432198,0.047627762446421404,0.2500817717230001,-0.00964125569609813,0.815996301272639
2021-06-03,0.03591398125047392,0.3854988511065418,0.05423684361210875,0.18982508056930922,-0.007597064453410542,0.8543936120973441
2021-06-04,0.014930489740803075,0.7176485205479465,0.1129060847423827,0.006086042236582322,0.09663787239622541,0.01898394467366469
2021-06-07,0.02035449981129885,0.6217217153908023,0.06630512788442654,0.10763792284442115,0.023371073553157255,0.571016621840309
2021-06-08,0.005822254709285599,0.8877724927968412,0.10017131059036809,0.014928141650684864,-0.010237653725338972,0.8040176645111167
2021-06-09,0.1206005442826411,0.003513141678817683,0.13494813378584342,0.0010787206381341122,0.021788801824513926,0.5992464748437377
2021-06-10,0.08230090769231505,0.04606148988501879,0.1099567669957909,0.007613805635428659,0.024066499731354985,0.5602810236790203
2021-06-11,0.11091434742106096,0.0071491088677773235,0.08834613003269418,0.03234823420877783,0.013768645089668772,0.7392153619462188
2021-06-15,0.1666826638242028,4.729282604972149e-05,0.10242913409041779,0.012800610687079085,0.04842227443906839,0.24024781962467454
2021-06-16,0.0769934693399029,0.06251849661783813,0.07964363117021223,0.053990431260034784,0.02823214539795651,0.4951728183531414
2021-06-17,0.08336120169896868,0.042963313414818974,0.067965894542357,0.09908776615843126,0.03933809058618951,0.34015362210936284
2021-06-18,0.04508750172109372,0.2758556349335528,0.06538256501111743,0.11386502923698509,0.003164661415041606,0.9390651024874606
2021-06-21,0.009132188870263104,0.8249633146475619,-0.01926527869097712,0.6407822753896144,-0.013727701349396293,0.7395344403531212
2021-06-22,-0.04963207146362535,0.22948231617043846,-0.0722855492080389,0.07987820789343007,-0.016427423553494285,0.690981809298624
2021-06-23,0.01071211297296612,0.7956443609605253,-0.033690201036758155,0.41522092500520935,-0.009614504090229981,0.8161886369631803
2021-06-24,0.0003445135603169758,0.9933487251583892,-0.0034866862274786255,0.9327638548304239,0.01403621627483199,0.7341181423698178
2021-06-25,-0.028736935713940655,0.48786384167450225,-0.030441338494372073,0.4624166746547246,-0.04115630869370727,0.3203541966757273
2021-06-28,0.035310061365016535,0.3939501549361112,0.05521401429862742,0.18233171434540477,0.004628942194865695,0.9110451757129687
2021-06-29,-0.0412740921674725,0.31731414592280466,0.007990656034750151,0.8465525811504209,-0.03707287076625908,0.3691157714700841
2021-06-30,0.02249590546615327,0.5852049579450822,0.021365768032086507,0.6041988583553608,-0.02041845900478827,0.620329425619834
2021-07-02,0.027192355055432,0.5083163764979824,0.03236577024047353,0.43106706796508865,0.015272618641798536,0.7102922451185928
2021-07-05,0.05109141628001462,0.21488739579393648,0.041640960197134626,0.31220437315550714,-0.038053162178576655,0.35576386793627746
2021-07-06,0.0509546658501388,0.21729336014202133,0.04209093784844671,0.30823585926289804,-0.05957418889992121,0.14907541847858005
2021-07-07,0.009616271146551076,0.8166194447307753,0.019710444861470545,0.6345374781489623,0.0037790027321567576,0.9273905747042783
2021-07-08,-0.01834488167659787,0.6598479177600749,-0.08193725916650976,0.048958532967483995,-0.03446886834660975,0.4081579015286775
2021-07-09,0.04814701884515934,0.24780497408748017,0.10751323275437476,0.009690010849097966,0.058037393425592415,0.1634783875947198
2021-07-12,0.09611107461276451,0.020501953149564243,0.090984464220322,0.02831377910784163,0.10781649298504657,0.009300917681453594
2021-07-13,0.103539975867791,0.012221644320222444,0.0967811267455327,0.019215954147881856,0.09554424155129038,0.02081884224353503
2021-07-14,0.07470426355492481,0.07075244051565047,0.08980182755701543,0.029733413118379206,0.07160702135664043,0.08328334599579823
2021-07-15,0.11810348143178842,0.004165408912767277,0.10799954346110088,0.008826353638434394,0.06411712295516363,0.12072907855202826
2021-07-16,0.04583160119642879,0.26841102471204675,0.059824884753237544,0.14840995275989002,-0.0012001163433145651,0.9768926102304983
2021-07-19,0.028819042950454794,0.48925104615618886,0.06473014855639765,0.12006996731069568,-0.04382154336040541,0.29290694216420815
2021-07-20,-0.03973066473072513,0.3390819928178397,0.019185473893512,0.6444455889526675,-0.00256306780790321,0.9508438768347518
2021-07-21,-0.01011586597065763,0.8079256348082817,0.028764405381836163,0.48932222759322486,0.0581567304680601,0.1618843428080957
2021-07-22,-0.008254805875408711,0.8424819620041659,0.024272271069372665,0.5589593748973898,0.062347055600673884,0.13301172772025321
2021-07-23,0.06858391641930102,0.09805034016499388,0.08461783177735878,0.041110876288180526,0.10776761935347356,0.009211731021957976
2021-07-26,0.07103499320866874,0.08686436041101259,0.08940122733527797,0.031047884958126503,0.11413197443638526,0.005842546359354466
2021-07-27,0.010486014475952002,0.8002007140040626,0.03271776840620412,0.429611776062057,0.07632022762264642,0.06508366246466499
2021-07-28,-0.02228391246484908,0.5909719828719946,0.010597890248703265,0.7982843939204984,0.0896626785271934,0.030271520520023385
2021-07-29,-0.027704592867826373,0.5029043252412015,0.014202310558526906,0.7313136438887012,0.08347303138621595,0.043216671223027955
2021-07-30,0.04831446952031632,0.24049808095490124,-0.013755889208201628,0.7383768109923055,0.04776418117743108,0.24590276219743956
2021-08-02,0.04112315162338009,0.3190886768006214,-0.031436803122249335,0.4463480993059947,0.02387035267209644,0.5631500182393734
2021-08-03,0.012974473550695266,0.7547781975462047,-0.04342714879679524,0.29560397270943184,0.06618645105965944,0.11070256968361944
